ligand,blob_map_filename
CLA-like,8HW1_H_605_CLA.npz
HG-like,7RJT_C_1102_BA.npz
NAG,7TGW_G_1_NAG.npz
BMA-like,7SMR_I_3_BMA.npz
CLA-like,6L35_B_823_CLA.npz
CLA-like,6KAD_y_610_CLA.npz
CLA-like,7EW6_L_303_CLA.npz
MAN-like,8EJG_K_4_MAN.npz
NAG,6KKU_D_1_NAG.npz
ATP-like,7S65_C_603_ATP.npz
ZN-like,8F6T_A_502_FE.npz
RARE_LIGAND,6KAC_n_605_CHL.npz
CLA-like,7R3K_3_5009_CLA.npz
ZN-like,7UFT_C_1101_ZN.npz
CA-like,6V4P_B_702_CA.npz
CLA-like,6L35_B_833_CLA.npz
ATP-like,6W23_B_802_ATP.npz
CLA-like,7R3K_3_5019_CLA.npz
RARE_LIGAND,8GF5_A_285_AGM.npz
HG-like,7XM1_EB_201_BA.npz
NAG,7V7G_O_1_NAG.npz
CLA-like,6KAC_C_504_CLA.npz
CLA-like,6ZZX_7_601_CLA.npz
FES-like,7Q21_A_501_FES.npz
RARE_LIGAND,7QA8_A_512_Y01.npz
MG-like,7NVL_e_602_MG.npz
RARE_LIGAND,6NQ0_A_1000_EUJ.npz
NAG,7XST_B_1302_NAG.npz
ADP-like,6REF_X_601_ADP.npz
SF4-like,7W4N_M_802_SF4.npz
PUT-like,7PBZ_B_502_HEX.npz
NAG,8G4T_s_2_NAG.npz
CLA-like,8BD3_D_401_PHO.npz
NAD-like,7KCB_B_403_NAD.npz
CLA-like,6YEZ_B_1023_CLA.npz
MG-like,6REB_X_602_MG.npz
RARE_LIGAND,8DFD_H_303_ALF.npz
HEC-like,8ABI_O_401_HEC.npz
MG-like,7JM7_C_902_MG.npz
BCR,6KIF_H_4014_BCR.npz
NAG,7V89_a_1_NAG.npz
CA-like,7YVS_A_902_CA.npz
RARE_LIGAND,7RZ5_B_1101_ZK1.npz
MG-like,6RDG_V_1002_MG.npz
MG-like,8IO9_B_903_MG.npz
NAG,7ET1_B_302_NAG.npz
FES-like,7W4N_M_803_FES.npz
RARE_LIGAND,7TGH_3c_502_HEM.npz
NAG,7LBF_K_1_NAG.npz
CLA-like,6KAC_s_603_CLA.npz
NAG,8CYA_V_2_NAG.npz
SPM-like,7XQB_D_412_C14.npz
RARE_LIGAND,6YJ4_L_1003_3PE.npz
NAG,7L8F_K_1_NAG.npz
RARE_LIGAND,6PLU_C_606_UNL.npz
MG-like,6Z1R_B_601_MG.npz
NAD-like,8ARI_L_501_NAD.npz
SPM-like,7XQF_D_300_C14.npz
RARE_LIGAND,7MIU_G_604_ZG4.npz
HEC-like,7ZXY_A_304_HEC.npz
NAG,7WS0_X_1_NAG.npz
HEA,5Z62_A_603_HEA.npz
PUT-like,6WU2_A_501_HEX.npz
NAG,8SAQ_J_2_NAG.npz
RARE_LIGAND,7R44_T_101_EHZ.npz
CLA-like,6KAC_s_613_CLA.npz
ADP-like,7ZUB_A_1001_ADP.npz
HEC-like,6OVH_L_202_HEC.npz
SF4-like,7P69_G_1003_SF4.npz
SR-like,7NNP_A_606_RB.npz
RARE_LIGAND,7PKD_J_303_PC.npz
NAG,8EPL_G_1_NAG.npz
RARE_LIGAND,8AGC_A_1002_CPL.npz
NAG,7CAB_B_1305_NAG.npz
ZN-like,8IDE_A_1101_MN.npz
SPM-like,7XQF_D_310_C14.npz
GTP-like,8SNB_DG_501_GTP.npz
CTP-like,7DPW_C_601_CTP.npz
RARE_LIGAND,8DR8_C_902_PEE.npz
NAG,7L8X_b_1_NAG.npz
NAG,7TAT_K_1_NAG.npz
NAG,8D0Z_A_1303_NAG.npz
RARE_LIGAND,8EFL_R_401_WH9.npz
NAG,7V82_V_2_NAG.npz
CDL,7TGH_3_202_CDL.npz
F3S,7UTD_J_402_F3S.npz
ATP-like,8EIO_A_1504_ATP.npz
CA-like,8D1I_E_602_CA.npz
RARE_LIGAND,8ABI_C_506_AWB.npz
PX4-like,7JN1_A_502_MC3.npz
CLA-like,7Y7B_A_810_CLA.npz
RARE_LIGAND,6LW1_A_1001_EX3.npz
RARE_LIGAND,8JCZ_3_2002_Z99.npz
MG-like,6UKS_G_801_MG.npz
MG-like,6S6Z_E_3001_MG.npz
RARE_LIGAND,6Z1F_H_202_KCX.npz
RARE_LIGAND,7R44_Y_802_3PE.npz
RARE_LIGAND,7TU7_C_501_DGT.npz
FES-like,7TGH_FX_201_FES.npz
RARE_LIGAND,6X89_G1_702_PC1.npz
NAG,7L86_o_1_NAG.npz
CYC-like,7EZX_G7_1001_CYC.npz
CLA-like,8AM5_b_832_CLA.npz
MLT-like,7R4C_r_1_AYA.npz
CYC-like,7EXT_b3_1001_CYC.npz
IMD-like,7WIY_D_502_IMD.npz
RARE_LIGAND,6WEJ_D_801_CPL.npz
CLA-like,6L35_6_609_CLA.npz
CLA-like,6KIF_f_1235_CLA.npz
MG-like,7US2_E_802_MG.npz
HEA,6HU9_a_602_HEA.npz
CLA-like,8AM5_b_822_CLA.npz
PEG-like,7LI8_A_911_HP6.npz
RARE_LIGAND,7URF_A_603_PKZ.npz
ZN-like,7OJ5_V_301_MN.npz
ATP-like,6MSM_A_1504_ATP.npz
CLA-like,6KIF_f_1225_CLA.npz
CLA-like,7YCA_B_842_CLA.npz
RARE_LIGAND,7Y6I_B_1101_POV.npz
FES-like,7V2H_O_301_FES.npz
NAG,7XU5_o_1_NAG.npz
CLA-like,6WJ6_C_507_CLA.npz
RARE_LIGAND,6WEL_B_806_CPL.npz
CLA-like,7YCA_A_804_CLA.npz
PLM-like,7TJ9_A_2407_PLM.npz
CDL,6TDV_p_202_CDL.npz
RARE_LIGAND,8AGC_F_301_CPL.npz
NAG,7WRH_K_1_NAG.npz
RARE_LIGAND,7TGH_3c_506_PC1.npz
CLA-like,6YXR_B_1235_CLA.npz
CA-like,7DXB_C_1106_CA.npz
NAG,7T3M_E_1_NAG.npz
NAP-like,8EYK_F_2603_NDP.npz
PLM-like,7E1V_R_603_PLM.npz
ATP-like,6HZM_B_1501_ATP.npz
CDL,8ABI_N_507_CDL.npz
ATP-like,7T3U_B_2702_ATP.npz
CLA-like,7YCA_A_814_CLA.npz
FES-like,7BKD_F_201_FES.npz
RARE_LIGAND,6ZR2_A_1_FME.npz
CLA-like,7R3K_F_303_CLA.npz
NAG,6UDJ_p_2_NAG.npz
CLA-like,6KIF_G_1106_CLA.npz
MG-like,7V2H_M_805_MG.npz
CLA-like,6YXR_B_1225_CLA.npz
BCR,6ZZX_3_505_BCR.npz
NAG,7TB8_S_1_NAG.npz
CLA-like,7R3K_A_817_CLA.npz
ATP-like,6REC_V_1001_ATP.npz
PLC,6RFR_W_401_PLC.npz
MAN-like,8FHD_D_5_MAN.npz
NAG,7CAB_E_1_NAG.npz
ADP-like,6M5G_D_402_ADP.npz
RARE_LIGAND,6WEL_A_803_PX2.npz
ADP-like,8H9V_F_501_ADP.npz
RARE_LIGAND,8BD3_D_406_PL9.npz
RARE_LIGAND,8IO7_A_900_TPP.npz
SF4-like,7BLX_C_3002_SF4.npz
GTP-like,7U67_A_601_GTP.npz
RARE_LIGAND,6XBY_s_501_POV.npz
CLA-like,6YXR_A_1135_CLA.npz
CLA-like,7R3K_A_807_CLA.npz
MG-like,6JCW_G_402_MG.npz
BMA-like,7QL6_K_3_BMA.npz
BCR,7S3D_R_4020_BCR.npz
RARE_LIGAND,7XE4_F_1904_DD9.npz
NAG,7MY3_O_1_NAG.npz
ATP-like,7DSI_A_1601_ACP.npz
CLR,7NIV_A_1304_CLR.npz
RARE_LIGAND,8AYM_J_1702_XVD.npz
CLA-like,8HW1_E_602_CLA.npz
SF4-like,7V31_M_801_SF4.npz
CLA-like,6LU1_A_820_CLA.npz
NAG,7U0X_D_1_NAG.npz
NAG,8HEC_X_1_NAG.npz
NAG,6YUZ_A_703_NAG.npz
MG-like,7KCM_A_802_MG.npz
CLA-like,7Y7B_J_102_CLA.npz
CLR,6S7P_A_1305_CLR.npz
CLA-like,6KIF_e_1125_CLA.npz
CLA-like,7R3K_8_309_CLA.npz
RARE_LIGAND,7R41_J_1_FME.npz
NAG,7LWP_B_1306_NAG.npz
CLA-like,7YCA_2_614_CLA.npz
FES-like,8AB7_E_301_FES.npz
RARE_LIGAND,7S88_B_704_Y01.npz
MG-like,8HH8_D_601_MG.npz
CLA-like,6KIF_e_1135_CLA.npz
NAP-like,6JQN_A_801_NAP.npz
CLA-like,6LU1_A_830_CLA.npz
RARE_LIGAND,7P69_L_702_3PE.npz
AGS,7NKU_F_803_AGS.npz
NAG,7V82_Z_1_NAG.npz
RARE_LIGAND,7DXB_B_1101_98R.npz
CA-like,8HK6_B_1302_K.npz
CLA-like,6ZZX_A_1137_CLA.npz
RARE_LIGAND,7QVI_I_501_CAP.npz
CLA-like,7S3D_b_1021_CLA.npz
MG-like,7TFB_L_501_MG.npz
NAG,7OCI_J_1_NAG.npz
NAG,6CDE_o_2_NAG.npz
NAG,8FIS_g_1_NAG.npz
ATP-like,8IO9_J_901_ANP.npz
FES-like,7P63_E_201_FES.npz
CLA-like,7R3K_B_823_CLA.npz
CYC-like,7EZX_sP_1001_CYC.npz
MG-like,7ZEC_D_602_MG.npz
NAG,7QN9_F_1_NAG.npz
MG-like,7NII_H_1001_MG.npz
NAG,7MIY_B_1_NAG.npz
NAG,7D7F_B_702_NAG.npz
CLA-like,6ZZX_A_1127_CLA.npz
FES-like,7NZ1_E_201_FES.npz
CLA-like,7R3K_B_833_CLA.npz
BCL,8B64_M_401_BCL.npz
ZN-like,7S4K_E_502_CU.npz
GTP-like,8GLV_A4_501_GTP.npz
PEG-like,7LI6_A_810_HP6.npz
NAG,6CM3_Z_1_NAG.npz
RARE_LIGAND,6Y9B_C_401_HEM.npz
ZN-like,6X89_S6_300_ZN.npz
NAG,6AGF_D_1_NAG.npz
CLA-like,7BLX_A_1103_CLA.npz
RARE_LIGAND,7TNL_C_1302_CYZ.npz
NAG,7Y5Z_F_1_NAG.npz
MG-like,6KQO_F_401_MG.npz
RARE_LIGAND,6KAC_s_601_CHL.npz
AMP-like,8FOZ_H_601_IMP.npz
RARE_LIGAND,8G3A_A_702_6OU.npz
BO2,7LXT_I_301_BO2.npz
MG-like,7RLH_F_903_MG.npz
RARE_LIGAND,7W9P_A_2016_PCW.npz
SPM-like,7XS6_A_2009_C14.npz
RARE_LIGAND,8HLA_K_302_FL3.npz
RARE_LIGAND,6PLT_B_511_UNL.npz
ADP-like,7TTN_D_602_ADP.npz
CLA-like,7Y7B_7_601_CLA.npz
CDL,6ZKB_M_503_CDL.npz
NAG,7XIX_F_1_NAG.npz
PLC,6RFR_5_803_PLC.npz
ZN-like,6M3X_I_401_FE.npz
CLA-like,8AM5_a_806_CLA.npz
SF4-like,7W31_B_301_SF4.npz
CLA-like,6KIF_A_1801_CLA.npz
RARE_LIGAND,8IO9_H_902_TPP.npz
SF4-like,7P7C_B_301_SF4.npz
NAG,6X6P_A_1309_NAG.npz
MG-like,8HH2_C_601_MG.npz
CLA-like,7BLX_B_1203_CLA.npz
RARE_LIGAND,7U2M_B_600_L2L.npz
ZN-like,6RFR_M_201_ZN.npz
CLA-like,8AM5_a_816_CLA.npz
CYC-like,7SC9_AK_200_CYC.npz
RARE_LIGAND,6R7X_A_712_UMQ.npz
NAG,6UDJ_5_1_NAG.npz
MG-like,6KPI_L_402_MG.npz
RARE_LIGAND,6HWH_Q_802_HAS.npz
NAG,8G3N_T_1_NAG.npz
RARE_LIGAND,8BD3_b_625_LHG.npz
ZN-like,8FGW_A_1201_ZN.npz
NAG,8AGC_I_1_NAG.npz
CDL,7TGH_AL_301_CDL.npz
ZN-like,7S4J_G_302_CU.npz
CLA-like,6ZZX_B_1227_CLA.npz
NAG,7UCG_X_1_NAG.npz
RARE_LIGAND,6X15_A_506_6OU.npz
CLA-like,7YCA_B_830_CLA.npz
CDL,8AC4_S_101_CDL.npz
CLA-like,8BD3_N_321_CLA.npz
RARE_LIGAND,6ZZX_4_501_LUT.npz
ZN-like,8CRS_D_601_FE.npz
RARE_LIGAND,8GKC_D_2601_X5O.npz
RARE_LIGAND,6ZZX_7_613_CHL.npz
CLA-like,7YCA_B_820_CLA.npz
RARE_LIGAND,6ZR2_M_501_3PE.npz
ZN-like,8SEW_C_5102_ZN.npz
RARE_LIGAND,7AK6_D_85_2MR.npz
ATP-like,7S65_F_602_ATP.npz
CDL,6RFR_4_503_CDL.npz
CLA-like,6ZZX_B_1237_CLA.npz
RARE_LIGAND,6X15_A_516_6OU.npz
ZN-like,6ZJA_D_602_NI.npz
CDL,7TGH_5_803_CDL.npz
MAN-like,8G3V_F_8_MAN.npz
RARE_LIGAND,6ZJA_X_603_DJM.npz
NAD-like,8FOZ_D_602_NAD.npz
CDL,7TGH_3H_202_CDL.npz
ATP-like,8IO8_B_801_ANP.npz
CLA-like,6KIF_A_1131_CLA.npz
BMA-like,6VI0_Z_3_BMA.npz
